"","Cycle","A1","A2","A3","A4","A5","A6"
"","1","-88.199513445564","-54.344212929172","-40.352306980954","69.413822220296","-2.1972470292867","0.05967532485829"
"","2","44.112780594572","-34.285985515556","-21.597102347036","122.24245098638","67.305781860682","9.0811687047326"
"","3","116.68403810297","-6.2878302630074","-7.1927001311392","194.73468725012","94.219774378662","16.590283263252"
"","4","161.17787669956","6.2250877495012","6.4227091018374","263.21683924023","107.3977283192","20.787822328083"
"","5","197.98372864775","12.219728648715","14.097135314431","325.27192999823","134.08782731065","19.228029598539"
"","6","240.46642778927","12.416063774844","13.753831907088","388.62843236577","131.03228111421","10.319748901341"
"","7","275.37772100753","10.156155212879","15.302404409638","463.81617108614","126.37338410796","17.421074814592"
"","8","305.36140550032","11.759019715359","11.357780944862","540.48824096387","111.59245100368","19.870390787748"
"","9","346.35879791357","6.422160466373","4.4149841449935","626.24287612257","92.277552040838","16.036054454277"
"","10","391.01019121401","8.8671865670058","3.5851147404551","725.33941920635","115.32633256707","18.694630390137"
"","11","447.08552000749","-0.88608224448626","0.37558396517579","869.91659087401","116.85889641535","13.256943246862"
"","12","529.43541264948","2.9254748247076","7.5114950289949","1066.4668156094","138.80430622914","43.309062878412"
"","13","655.08504507991","24.890943390235","27.133738319569","1335.4692782008","232.62392812779","74.754785571603"
"","14","854.25028767093","59.631025389876","71.271103301377","1862.2494469537","383.31933476115","153.49569876303"
"","15","1190.5925087031","126.81371839043","151.63580667481","2538.2466026778","616.76169140163","291.54303164059"
"","16","1724.6419815839","259.72989230924","316.28154532972","3356.3626539421","1018.8246528604","548.45636454457"
"","17","2579.492668119","506.66396655912","595.44321327124","4187.9033740647","1523.8425403982","986.75272106442"
"","18","3471.2309919647","937.56730293826","1083.6029031235","4927.5859621521","2023.8752605262","1702.4370600331"
"","19","4351.9577216268","1617.8494928189","1814.3187912365","5571.7567425075","2421.4792124922","2690.0949628351"
"","20","5120.2764055739","2550.6782149838","2700.5693010144","6162.2760000244","2743.1369193462","3598.4563473848"
"","21","5776.1839544979","3553.5929277341","3535.2584486535","6700.0227241032","2988.5921311261","4381.6905177327"
"","22","6347.6132402191","4479.9625574216","4301.6181211517","7190.5241743959","3161.2313796914","5034.9739260516"
"","23","6856.7058203762","5302.3550252992","4990.7535506305","7622.508279283","3271.1544256041","5604.9835760657"
"","24","7296.0824765176","6022.0824742567","5621.7947072934","8016.4112984321","3304.198905794","6129.3313038996"
"","25","7681.0710537745","6651.8554552376","6193.9682885898","8345.3702361337","3282.525564128","6586.9438020738"
"","26","8010.3728279916","7207.6672649668","6704.4605472474","8636.0446021448","3235.6142547361","6974.5738279623"
"","27","8284.3245244639","7681.7791252532","7166.8593113414","8884.0158694014","3154.4213311375","7323.6667435201"
"","28","8515.8957941463","8094.7896779528","7569.5489075538","9113.7423344709","3044.5010957981","7623.3931689178"
"","29","8710.1419596234","8439.9826554252","7924.1342779226","9312.5105991122","2894.6851607881","7887.1163668587"
"","30","8885.7102553556","8734.6200340089","8226.8688286401","9488.8047196102","2737.6861491","8079.7449416631"
"","31","9019.1446185509","8962.8782663193","8491.805209187","9640.2308869336","2568.4495757701","8256.5728446296"
"","32","9126.4688015979","9141.3905113811","8717.9509387454","9777.8875210779","2391.0344662134","8403.1349605117"
"","33","9200.7331624409","9274.9185308629","8903.6878703467","9907.6888581608","2203.8860855709","8541.2089589944"
"","34","9264.3852627977","9376.2858793402","9044.2438362323","10020.574120652","2016.2515454192","8644.6349058126"
"","35","9308.986739386","9442.0725303518","9158.4333720075","10116.343641702","1832.393115115","8742.709520935"
"","36","9341.4472358538","9485.3820273276","9233.0397680156","10180.688397413","1644.2255880497","8804.6707768684"
"","37","9357.3575640896","9510.6695552289","9300.7431070478","10240.50396092","1451.422514843","8869.0794871485"
"","38","9371.459766953","9522.1282875629","9332.9258259552","10288.781388741","1276.987774452","8907.717769057"
"","39","9385.6882103524","9523.8600047078","9363.2869107978","10335.393573999","1106.5886847442","8935.1907128994"
"","40","9395.8510572926","9528.0660167156","9383.5949786291","10369.692044256","947.93477588427","8950.8624266743"
"","41","9407.2694645504","9525.0726414157","9410.996099259","10406.411558178","775.35492100577","8933.1315703468"
"","42","9420.3631855742","9517.7739943577","9422.6933727259","10428.646063244","614.15376119722","8930.6019889885"
"","43","9433.639988715","9515.6735147932","9421.9433377907","10460.683755746","451.12438246188","8904.1335248869"
"","44","9436.647023486","9506.9626435115","9414.3731675906","10476.783927857","287.58839521779","8915.7494678355"
"","45","9438.3917353907","9504.9215018495","9414.5549638672","10508.611332916","97.925676481202","8903.3628572432"
"","46","9445.3514583461","9491.2654615658","9413.3884411971","10529.796505862","-89.705936957796","8896.9502495588"
"","47","9452.5372541528","9484.6323075855","9407.8228238653","10543.965101563","-253.88121820757","8861.027339802"
"","48","9460.2127205655","9472.191828653","9407.1291272035","10557.561307584","-420.44700682095","8834.5687003777"
"","49","9465.823294282","9461.582897761","9413.3214146106","10560.394744312","-591.17552396533","8808.0863895219"
"","50","9471.9439606569","9445.8627981688","9429.7105360521","10585.203133645","-798.25972653093","8781.1151826862"
"","51","9477.9484688365","9422.6271492006","9442.8831221301","10615.033058741","-1000.815032949","8742.1762552869"
